S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
269,Deddy Corbuzier,corbuzierprediction,Other,19500000.0,Indonesia,4200000.0,70700.0,8100.0,Other,9/25/2022
271,Troom Troom Es,Troom Troom Es,Other,19300000.0,Mexico,125700.0,2500.0,72.0,Other,9/11/2022
272,Infinite,Infinite,Video games,19300000.0,United States,776700.0,25300.0,2400.0,Humor,9/2/2022
274,Robin Hood Gamer,RobinHoodGamer1,Animation,19300000.0,Brazil,1000000.0,51400.0,784.0,Video games,9/11/2022
275,Kurzgesagt – In a Nutshell,Kurzgesagt,Education,19300000.0,United States,7000000.0,329700.0,24700.0,Other,9/5/2022
276,Fatos Desconhecidos,fatosdesconhecidos,Science & Technology,19200000.0,Brazil,194500.0,19000.0,683.0,Other,9/27/2022
277,Beast Reacts,Beast Reacts,Other,19100000.0,United States,12700000.0,389700.0,7100.0,Other,9/17/2022
278,Sun TV,Sun TV,Other,19100000.0,India,89400.0,1600.0,19.0,Other,9/23/2022
279,Crafty Panda,Crafty Panda,Music & Dance,19100000.0,India,81300.0,571.0,15.0,Other,9/12/2022
280,NBA,NBA,Sports,19100000.0,United States,58300.0,1700.0,119.0,Other,9/5/2022
281,DLS News,DLS News,News & Politics,19000000.0,India,61500.0,1700.0,104.0,Other,9/10/2022
282,Clash of Clans,OfficialClashOfClans,Movies,18900000.0,United States,299400.0,14000.0,394.0,Animation,9/25/2022
283,invictor,invictorgs3,Animation,18900000.0,Mexico,1300000.0,70200.0,982.0,Video games,9/27/2022
284,Netflix India,Netflix India,Other,18900000.0,India,131000.0,2800.0,105.0,Other,9/3/2022
285,Jimmy Kimmel Live,JimmyKimmelLive,Movies,18900000.0,United States,133100.0,3400.0,257.0,Other,9/28/2022
286,The ACE Family,The ACE Family,Humor,18900000.0,United States,702100.0,26000.0,2500.0,Other,9/25/2022
288,Britain's Got Talent,BritainsGotTalent09,Music & Dance,18700000.0,United Kingdom,192200.0,1100.0,44.0,Movies,9/6/2022
289,TRT Originals Urdu,TRT Originals Urdu,Other,18700000.0,Pakistan,308200.0,13600.0,328.0,Other,9/19/2022
290,AS Gaming,AS Gaming,Other,18700000.0,India,370700.0,32700.000000000004,1100.0,Other,9/1/2022
291,TheWillyrex,TheWillyrex,Other,18600000.0,Spain,25400.0,1500.0,0.0,Other,9/4/2022
292,The Royalty Family,The Royalty Family,Humor,18500000.0,United States,3400000.0,90200.0,0.0,Other,9/12/2022
294,CookieSwirlC,CookieSwirlC,Video games,18500000.0,United States,238100.0,3300.0,535.0,Other,9/10/2022
296,Sonotek,sonotekvideo,Music & Dance,18400000.0,India,28600.0,655.0,58.0,Animation,9/5/2022
298,KBS WORLD TV,kbsworld,Other,18400000.0,Indonesia,5300.0,137.0,6.0,Other,9/28/2022
299,MiawAug,MiawAug,Video games,18400000.0,Indonesia,850700.0,35400.0,2100.0,Other,9/24/2022
301,HiMan,HiMan,Video games,18300000.0,Russia,1600000.0,76900.0,2400.0,Other,9/7/2022
302,ElTrollino,ElTrollino,Animation,18300000.0,Mexico,3500000.0,102600.0,2800.0,Video games,9/25/2022
303,Unbox Therapy,Unbox Therapy,Science & Technology,18300000.0,United States,1200000.0,28200.0,3300.0,Other,9/8/2022
307,Ninja Kidz TV,Ninja Kidz TV,Video games,18200000.0,United States,793900.0,18800.0,1300.0,Other,9/28/2022
309,TheOdd1sOut,TheOdd1sOut,Movies,18100000.0,United States,1100000.0,44200.0,1600.0,Animation,9/17/2022
310,Dan-Sa / Daniel Saboya,DanielSaboya,Music & Dance,18100000.0,Brazil,40700.0,1300.0,48.0,Animation,9/4/2022
311,Emiway Bantai,Emiway Bantai,Music & Dance,18100000.0,India,1600000.0,208500.0,23600.0,Other,9/15/2022
312,GEN HALILINTAR,GEN HALILINTAR,Music & Dance,18100000.0,Indonesia,195700.0,10400.0,238.0,Humor,9/24/2022
313,Мирошка ТВ,Мирошка ТВ,Other,18100000.0,United States,15000.0,87.0,3.0,Other,9/8/2022
314,Vsauce,Vsauce,Science & Technology,18100000.0,United States,318900.0,17600.0,489.0,Other,9/18/2022
315,Farruko,farrukotv,Music & Dance,18100000.0,United States,641600.0,39600.0,1800.0,Other,9/24/2022
317,SCTV,SCTVIndonesia,Music & Dance,17900000.0,Indonesia,24200.0,410.0,23.0,Movies,9/17/2022
318,Village Cooking Channel,Village Cooking Channel,Other,17900000.0,India,4700000.0,262500.0,5500.0,Other,9/14/2022
320,Good Mythical Morning,rhettandlink2,Food & Drinks,17900000.0,United States,1200000.0,34600.0,1400.0,Other,9/20/2022
321,Naisa Alifia Yuriza (N.A.Y),Naisa Alifia Yuriza (N.A.Y),Music & Dance,17900000.0,Indonesia,908300.0,35500.0,596.0,Movies,9/6/2022
322,Lil Pump,Lil Pump,Music & Dance,17900000.0,United States,1300000.0,77600.0,8100.0,Other,9/1/2022
323,Demi Lovato,therealdemilovato,Music & Dance,17800000.0,United States,53500.0,5300.0,136.0,Other,9/24/2022
324,Marmok,dj47maryn,Animation,17800000.0,Russia,3900000.0,377100.0,17600.0,Video games,9/26/2022
325,RsiamMusic : อาร์สยาม,rsiammusic,Music & Dance,17800000.0,Thailand,10100.0,274.0,9.0,Other,9/15/2022
326,Познаватель,ThePoznavatel,Toys,17700000.0,Russia,3100000.0,65600.0,2400.0,DIY & Life Hacks,9/9/2022
327,TheGrefg,TheGrefg,Animation,17700000.0,Spain,986100.0,74800.0,1300.0,Video games,9/2/2022
328,Ali-A,Matroix,Video games,17700000.0,United States,466400.0,13600.0,904.0,Other,9/13/2022
332,etvteluguindia,etvteluguindia,Other,17600000.0,India,18800.0,211.0,3.0,Other,9/3/2022
333,Khan GS Research Centre,Khan GS Research Centre,Education,17600000.0,India,7100000.0,540400.0,23200.0,Other,9/9/2022
334,Sebastián Yatra,SebastianYatra,Music & Dance,17600000.0,Colombia,84900.0,5300.0,389.0,Other,9/16/2022
335,TED-Ed,TEDEducation,Science & Technology,17500000.0,United States,202500.0,12300.0,358.0,Other,9/3/2022
336,officialpsy,officialpsy,Music & Dance,17500000.0,United States,3200000.0,258399.99999999997,7400.0,Other,9/5/2022
337,Porta dos Fundos,portadosfundos,Movies,17400000.0,Brazil,738900.0,73600.0,725.0,Animation,9/12/2022
339,Junya Official Channel,Junya Official Channel,Other,17400000.0,Japan,2100000.0,24100.0,132.0,Other,9/2/2022
340,RobleisIUTU,RobleisIUTU,Movies,17400000.0,Argentina,838800.0,57000.0,1900.0,Animation,9/14/2022
342,Rafa & Luiz,Rafa & Luiz,Video games,17400000.0,Brazil,587500.0,33000.0,703.0,Other,9/14/2022
344,Stubborn Facts,Stubborn Facts,Other,17300000.0,India,66700.0,3400.0,166.0,Other,9/16/2022
345,SQUEEZIE,aMOODIEsqueezie,Other,17300000.0,France,5300000.0,423000.0,7900.0,Other,9/7/2022
346,EeOneGuy,EeOneGuy,Music & Dance,17300000.0,Russia,204600.0,13200.0,5600.0,Other,9/22/2022
347,SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,Other,17200000.0,Mexico,222200.0,6700.0,176.0,Other,9/4/2022
348,Willyrex,Willyrex,Video games,17200000.0,Mexico,151900.0,13200.0,66.0,Other,9/18/2022
349,Grammy Gold Official,grammygoldofficia,Music & Dance,17200000.0,Thailand,15000.0,312.0,9.0,Other,9/22/2022
350,DUDU e CAROL,DUDU e CAROL,Other,17200000.0,Brazil,3100000.0,188300.0,1100.0,Other,9/13/2022
351,شبكة العاب العرب | Arab Games Network,ArabGamesNetwork,Other,17200000.0,Algeria,307500.0,28200.0,1400.0,Other,9/27/2022
352,Sourav Joshi Vlogs,Sourav Joshi Vlogs,Daily vlogs,17000000.0,India,5800000.0,532300.0,13900.0,Other,9/25/2022
353,IGN,IGNentertainment,Other,17000000.0,United States,45700.0,1000.0,105.0,Other,9/14/2022
354,Jason Derulo,JasonDerulo,Music & Dance,17000000.0,United States,68100.0,4500.0,66.0,Other,9/7/2022
355,Guava Juice,aynakoitsroi,Other,17000000.0,United States,217400.0,6300.0,708.0,Other,9/19/2022
356,7clouds,monstafluffmusicTV,Music & Dance,16900000.0,United States,233600.0,5200.0,175.0,Other,9/19/2022
357,Jane ASMR 제인,Jane ASMR 제인,Daily vlogs,16900000.0,United States,290000.0,5600.0,285.0,Other,9/5/2022
358,Anitta,AnittaOficial,Music & Dance,16900000.0,Brazil,3200000.0,132500.0,9100.0,Other,9/15/2022
360,Triggered Insaan,Triggered Insaan,Humor,16800000.0,India,5600000.0,521299.99999999994,15700.0,Other,9/23/2022
361,SOMOY TV,SOMOY TV,Daily vlogs,16800000.0,Bangladesh,8300.0,185.0,13.0,Other,9/5/2022
362,Dhar Mann,Dhar Mann,Health & Self Help,16800000.0,United States,5800000.0,130699.99999999999,6100.0,Other,9/22/2022
363,Dushyant kukreja,Dushyant kukreja,Other,16700000.0,India,3700000.0,245300.0,531.0,Other,9/8/2022
364,Manual do Mundo,iberethenorio,Science & Technology,16700000.0,Brazil,411500.0,53300.0,645.0,Other,9/30/2022
365,Shemaroo Comedy,indiancomedy,Other,16700000.0,India,98900.0,913.0,26.0,Other,9/25/2022
366,TheBrianMaps,TheBrianMaps,Video games,16600000.000000002,Russia,3100000.0,204300.0,11400.0,Humor,9/7/2022
367,Tu COSMOPOLIS,Tu COSMOPOLIS,News & Politics,16600000.000000002,Mexico,78600.0,6200.0,534.0,Other,9/13/2022
368,DeToxoMoroxo,jquintanac5,Movies,16600000.000000002,Mexico,571900.0,34600.0,9100.0,Animation,9/16/2022
369,Alejo Igoa,Alejo Igoa,DIY & Life Hacks,16600000.000000002,Argentina,6800000.0,293500.0,76700.0,Other,9/17/2022
370,Goldmines Great Indian Comedy,Goldmines Great Indian Comedy,Other,16600000.000000002,India,14100.0,180.0,9.0,Other,9/5/2022
371,zbing z.,zbingzbing,Animation,16500000.0,Thailand,390300.0,15600.0,541.0,Video games,9/20/2022
373,tanboy kun,tanboy kun,Music & Dance,16500000.0,Indonesia,2000000.0,47500.0,2100.0,Other,9/26/2022
374,IDEAS EN 5 MINUTOS,IDEAS EN 5 MINUTOS,Other,16500000.0,Mexico,39800.0,335.0,8.0,Other,9/24/2022
377,Prajapati News,Prajapati News,Other,16399999.999999998,India,24700.0,1300.0,64.0,Other,9/6/2022
378,Sandra Cires Art,Sandra Cires Art,Other,16399999.999999998,Colombia,412000.0,37400.0,537.0,Other,9/18/2022
380,Sidemen,Sidemen,Video games,16399999.999999998,United Kingdom,10200000.0,412200.0,10600.0,Humor,9/29/2022
381,ExtraPolinesios,ppextras,Daily vlogs,16399999.999999998,Mexico,131800.0,5600.0,157.0,Other,9/27/2022
382,Dan Rhodes,Dan Rhodes,Animation,16300000.0,India,1800000.0,119000.0,409.0,Toys,9/3/2022
383,RKD Studios,rkddigital,Other,16300000.0,India,171400.0,1900.0,56.0,Other,9/15/2022
384,Antrax,Antrax,Video games,16300000.0,Mexico,570500.0,41400.0,1500.0,Other,9/18/2022
385,The Game Theorists,MatthewPatrick13,Science & Technology,16200000.0,United States,2300000.0,123900.0,5900.0,Other,9/19/2022
386,Queen Official,queenofficial,Music & Dance,16200000.0,United States,0.0,0.0,0.0,Movies,9/22/2022
387,Fede Vigevani,Fede Vigevani,Other,16200000.0,Mexico,3500000.0,202700.0,10600.0,Other,9/15/2022
388,FailArmy,failarmy,Animation,16200000.0,United States,2600000.0,28600.0,2100.0,Humor,9/16/2022
390,Katie Angel,Katie Angel,Other,16100000.000000002,Mexico,306100.0,25900.0,173.0,Other,9/23/2022
391,Les' Copaque Production,lescopaque,Other,16100000.000000002,Indonesia,74900.0,878.0,35.0,Other,9/11/2022
392,VICE,vice,News & Politics,16100000.000000002,United States,414400.0,5600.0,1300.0,Other,9/4/2022
393,Kaykai Salaider,Kaykai Salaider,Movies,16100000.000000002,Thailand,1100000.0,103600.0,4700.0,Humor,9/26/2022
394,Boyce Avenue,boyceavenue,Music & Dance,16000000.0,Brazil,314700.0,11500.0,450.0,Other,9/7/2022
395,Marques Brownlee,marquesbrownlee,Science & Technology,16000000.0,United States,2700000.0,127000.0,4300.0,Other,9/15/2022
396,Sony AATH,Sony AATH,Other,16000000.0,Bangladesh,59200.0,1000.0,40.0,Other,9/1/2022
397,YOLO AVENTURAS,YOLO AVENTURAS,Other,16000000.0,Mexico,1700000.0,140700.0,708.0,Other,9/12/2022
398,Zhong,Zhong,Other,16000000.0,United States,3400000.0,252500.0,1500.0,Other,9/14/2022
399,jeffreestar,jeffreestar,Beauty,16000000.0,United States,1200000.0,50000.0,5500.0,Other,9/15/2022
400,Aayu and Pihu Show,Aayu and Pihu Show,Movies,16000000.0,India,3100000.0,71300.0,4200.0,Humor,9/11/2022
401,DopeLyrics,DopeLyrics,Music & Dance,16000000.0,United States,10300.0,272.0,28.0,Other,9/6/2022
402,JJ Olatunji,KSIOlajidebtHD,Other,16000000.0,United States,3900000.0,286400.0,11900.0,Other,9/21/2022
406,AMARINTV : อมรินทร์ทีวี,AMARINTV : อมรินทร์ทีวี,News & Politics,15900000.0,Thailand,6400.0,93.0,7.0,Other,9/7/2022
407,Ivana Alawi,Ivana Alawi,Daily vlogs,15800000.0,Philippines,3700000.0,196800.0,11600.0,Other,9/17/2022
408,Matt Stonie,MegatoadStonie,Food & Drinks,15800000.0,United States,1200000.0,52300.0,2500.0,Other,9/16/2022
409,Pitbull,PitbullMusic,Music & Dance,15800000.0,United States,18500.0,1600.0,43.0,Other,9/16/2022
411,News24,News24page,News & Politics,15800000.0,India,5800.0,110.0,10.0,Other,9/20/2022
412,Pop Chartbusters,popchartbusters,Music & Dance,15800000.0,India,36900.0,10100.0,37.0,Other,9/5/2022
413,Rotten Tomatoes Trailers,movieclipsTRAILERS,Movies,15800000.0,United States,41900.0,659.0,71.0,Animation,9/25/2022
414,AdMe,AdMe,Animation,15800000.0,Russia,50500.0,1500.0,81.0,Other,9/19/2022
415,Gato Galactico | GALÁXIA,OGatoGalactico,Animation,15600000.0,Brazil,90400.0,4900.0,78.0,Other,9/11/2022
416,And TV,And TV,Other,15600000.0,India,8900.0,104.0,4.0,Other,9/2/2022
417,Roman Atwood Vlogs,RomanAtwoodVlogs,Movies,15600000.0,United States,311000.0,0.0,995.0,Humor,9/28/2022
418,Dyland PROS,Dyland PROS,Movies,15500000.0,Indonesia,33300.0,2100.0,98.0,Animation,9/13/2022
420,RCTI - LAYAR DRAMA INDONESIA,RCTI - LAYAR DRAMA INDONESIA,Music & Dance,15400000.0,Indonesia,20000.0,353.0,22.0,Movies,9/28/2022
421,Camilo,CamiloMusicaVideo,Music & Dance,15400000.0,Colombia,157000.0,9300.0,125.0,Other,9/21/2022
422,MrBeast Shorts,MrBeast Shorts,Daily vlogs,15400000.0,United States,15500000.0,1300000.0,4800.0,Other,9/20/2022
424,SriBalajiMovies,SriBalajiMovies,Other,15400000.0,India,12900.0,85.0,2.0,Other,9/14/2022
425,LOKESH GAMER,LOKESH GAMER,Other,15400000.0,India,349200.0,40600.0,1500.0,Other,9/13/2022
426,T3ddy,T3DDYgames,Daily vlogs,15300000.0,Brazil,801500.0,79900.0,2200.0,Other,9/8/2022
427,Stokes Twins,alanalan9635,Video games,15300000.0,United States,11900000.0,404600.0,40200.0,Humor,9/7/2022
428,With Kids[위드키즈],With Kids[위드키즈],Other,15300000.0,United States,71100.0,0.0,0.0,Other,9/20/2022
429,Kerajinan 5-Menit,Kerajinan 5-Menit,Music & Dance,15200000.0,Indonesia,17000.0,147.0,6.0,Other,9/10/2022
432,Dangal TV Channel,Dangal TV Channel,Other,15200000.0,India,63800.0,956.0,6.0,Other,9/12/2022
433,5-Minute Crafts FAMILY,5-Minute Crafts FAMILY,Other,15200000.0,United States,16100.000000000002,175.0,9.0,Other,9/9/2022
434,SAM SMITH,SAM SMITH,Other,15200000.0,United States,29900.0,2000.0,61.0,Other,9/11/2022
435,Ch7HD,bbtvch7,Other,15200000.0,Thailand,7100.0,135.0,2.0,Other,9/17/2022
436,TheRichest,TheRichest,News & Politics,15200000.0,United States,22200.0,644.0,81.0,Other,9/9/2022
437,POPS Kids,popskids,Animation,15200000.0,Indonesia,4100.0,53.0,0.0,Other,9/7/2022
438,حِرف إبداعية في 5 دقائق,حِرف إبداعية في 5 دقائق,Other,15100000.0,Egypt,35800.0,344.0,16.0,Other,9/2/2022
439,Lahari Music | T-Series,laharimusic,Music & Dance,15100000.0,India,30600.0,1300.0,23.0,Other,9/28/2022
440,LEGO,LEGO,Animation,15100000.0,United States,54800.0,666.0,0.0,Other,9/18/2022
441,НТВ,ntvru,News & Politics,15000000.0,Russia,82300.0,901.0,216.0,Other,9/9/2022
442,Henrique e Juliano,hejproducao,Music & Dance,15000000.0,Brazil,71800.0,3700.0,152.0,Other,9/20/2022
443,Mariale,Mariale,Other,15000000.0,Mexico,154700.0,7000.0,285.0,Other,9/23/2022
444,Talking Tom & Friends,TalkingFriends,Animation,15000000.0,United States,220600.0,2300.0,0.0,Humor,9/25/2022
445,Makiman131,Makiman131,Movies,15000000.0,Spain,279500.0,15600.0,604.0,Animation,9/27/2022
446,Ranz Kyle,ranziscool,Humor,15000000.0,Philippines,786300.0,27400.0,881.0,Other,9/23/2022
447,Volga Video,newvolgavideo,Other,15000000.0,India,5300.0,43.0,2.0,Other,9/17/2022
448,Harsh Beniwal,Harsh Beniwal,Movies,15000000.0,India,13800000.0,1200000.0,31600.0,Humor,9/30/2022
449,NichLmao,NichLmao,Daily vlogs,15000000.0,United States,4700000.0,361200.0,2000.0,Other,9/13/2022
451,LIV Crime,LIV Crime,Daily vlogs,15000000.0,India,95500.0,1100.0,35.0,Other,9/28/2022
452,Niana Guerrero,Niana Guerrero,Music & Dance,15000000.0,Philippines,1000000.0,31500.0,1100.0,Humor,9/19/2022
454,League of Legends,RiotGamesInc,Movies,15000000.0,United States,515799.99999999994,33500.0,1100.0,Animation,9/30/2022
455,GMMTV OFFICIAL​​,GMMTVSPOTLIKE,Music & Dance,15000000.0,Thailand,24900.0,544.0,14.0,Movies,9/12/2022
456,Kwebbelkop,kwebbelkop,Animation,15000000.0,United States,100200.0,3000.0,284.0,Video games,9/23/2022
457,La Rosa de Guadalupe,La Rosa de Guadalupe,Other,14900000.0,Mexico,90800.0,865.0,19.0,Other,9/3/2022
458,NDTV India,ndtvindia,News & Politics,14900000.0,India,12700.0,305.0,33.0,Other,9/16/2022
459,BBC News Hindi,bbchindi,News & Politics,14900000.0,India,167300.0,0.0,311.0,Other,9/10/2022
460,MK MUSIC,mkmusicnews,Music & Dance,14900000.0,Brazil,20400.0,1900.0,33.0,Other,9/18/2022
462,Linus Tech Tips,LinusTechTips,Science & Technology,14900000.0,United States,1500000.0,66600.0,3000.0,Other,9/15/2022
463,Lachlan,Lachlan,Video games,14900000.0,United States,420100.0,19900.0,612.0,Other,9/14/2022
465,Daniel LaBelle,Daniel LaBelle,Other,14800000.0,United States,23100000.0,459400.0,2900.0,Other,9/29/2022
466,Zé Neto e Cristiano,zncoficial,Other,14800000.0,Brazil,29500.0,3200.0,39.0,Other,9/21/2022
467,iTownGamePlay *Terror&Diversión*,iTownGamePlay,News & Politics,14800000.0,Mexico,134500.0,5200.0,291.0,Other,9/13/2022
468,les boys tv2,les boys tv2,Sports,14800000.0,France,7400.0,0.0,0.0,Other,9/4/2022
469,NMF News,narendramodionline,News & Politics,14700000.0,India,12600.0,299.0,35.0,Other,9/9/2022
471,News18 India,News18 India,News & Politics,14700000.0,India,2700.0,46.0,2.0,Other,9/13/2022
472,TWICE,TWICE,Music & Dance,14700000.0,Philippines,565900.0,61600.0,500.0,Movies,9/23/2022
473,IDEIAS INCRÍVEIS,IDEIAS INCRÍVEIS,Other,14700000.0,Brazil,13600.0,257.0,6.0,Other,9/21/2022
474,LEGENDA FUNK,LEGENDA FUNK,Music & Dance,14700000.0,Brazil,6700.0,268.0,9.0,Animation,9/3/2022
475,Thairath Online,thairathonline,News & Politics,14700000.0,Thailand,16900.0,233.0,23.0,Other,9/28/2022
476,Jorge & Mateus Oficial,jemproducoes,Music & Dance,14600000.0,Brazil,1100000.0,12800.0,250.0,Other,9/21/2022
477,MattyBRaps,MattyBRaps,Music & Dance,14600000.0,United States,3500000.0,15200.0,0.0,Movies,9/18/2022
479,حقائق وأسرار,حقائق وأسرار,Other,14600000.0,Egypt,0.0,0.0,0.0,Other,9/7/2022
480,Team Films Bhojpuri,TeamFilmsBhojpuri,Music & Dance,14600000.0,India,17600.0,442.0,48.0,Movies,9/15/2022
481,Daftar Populer,Daftar Populer,News & Politics,14600000.0,Indonesia,99000.0,1900.0,199.0,Other,9/24/2022
482,Major Lazer Official,majorlazer,Music & Dance,14600000.0,United States,28700.0,1500.0,95.0,Movies,9/13/2022
483,Drawblogs,Drawblogs,Movies,14600000.0,Mexico,19100.0,858.0,58.0,Animation,9/29/2022
484,Maha Fun Tv,Maha Fun Tv,Other,14600000.0,India,68200.0,1700.0,145.0,Other,9/30/2022
485,CollegeHumor,collegehumor,Movies,14600000.0,United States,146000.0,7400.0,817.0,Humor,9/13/2022
486,Fueled By Ramen,FueledByRamen,Other,14600000.0,United States,36900.0,2000.0,114.0,Other,9/27/2022
489,XpressTV,XpressTV,Science & Technology,14500000.0,Mexico,1400000.0,48500.0,556.0,Other,9/20/2022
490,Arif muhammad,Arif muhammad,Music & Dance,14500000.0,Indonesia,2900000.0,77600.0,3200.0,Movies,9/8/2022
491,Mobile Legends: Bang Bang Official,Mobile Legends: Bang Bang Official,Movies,14500000.0,Indonesia,420700.0,3100.0,26.0,Animation,9/13/2022
492,Zach King,Zach King,Movies,14500000.0,United States,633700.0,0.0,899.0,Humor,9/29/2022
494,Busy Fun Ltd,Busy Fun Ltd,Other,14500000.0,India,9000000.0,35500.0,584.0,Other,9/3/2022
496,Super Polina,Super Polina,Other,14500000.0,Russia,8900.0,61.0,0.0,Other,9/23/2022
497,Martin Garrix,MartinGarrix,Music & Dance,14400000.0,United States,54000.0,5100.0,103.0,Other,9/16/2022
498,The Slow Mo Guys,theslowmoguys,Other,14400000.0,United States,946900.0,62900.0,2800.0,Other,9/13/2022
499,It's Mamix,It's Mamix,DIY & Life Hacks,14400000.0,Russia,2900000.0,0.0,5200.0,Other,9/11/2022
500,Chad Wild Clay,chadwildclay,Movies,14400000.0,United States,2200000.0,38200.0,6500.0,Humor,9/16/2022
501,Gyan Gamingㅤ,Gyan Gamingㅤ,Other,14400000.0,India,371800.0,38600.0,863.0,Other,9/2/2022
502,Unspeakable,Unspeakable,Video games,14400000.0,United States,3300000.0,62700.0,7200.0,Humor,9/7/2022
504,PlayStation,PlayStation,Other,14400000.0,United States,43800.0,1400.0,158.0,Other,9/22/2022
505,Genierock,Genierock,Music & Dance,14400000.0,Thailand,100700.0,988.0,64.0,Other,9/22/2022
506,CoryxKenshin,CoryxKenshin,Video games,14400000.0,United States,7500000.0,528300.0,34100.0,Humor,9/11/2022
507,Aphmau,ChallengeAcceptedInc,Animation,14300000.0,United States,2500000.0,59800.0,4400.0,Video games,9/18/2022
508,ABS-CBN News,TheABSCBNNews,News & Politics,14300000.0,Philippines,5400.0,50.0,4.0,Other,9/29/2022
509,Mohamed Ramadan I محمد رمضان,MRamadanOfficial,Music & Dance,14200000.0,Egypt,2400000.0,59400.0,4100.0,Other,9/14/2022
510,Zach Choi ASMR,Zach Choi ASMR,Daily vlogs,14200000.0,United States,166700.0,11000.0,114.0,Other,9/10/2022
511,Camila Loures,camilaloures,Movies,14200000.0,Brazil,239900.0,18800.0,325.0,Humor,9/9/2022
512,Anasala I أنس و أصالة,Anasala I أنس و أصالة,Other,14200000.0,Egypt,2700000.0,194200.0,7700.0,Other,9/10/2022
513,CNN,CNN,Music & Dance,14200000.0,United States,323200.0,4700.0,4200.0,Animation,9/10/2022
514,Gulshan Kalra,Gulshan Kalra,Other,14200000.0,India,8900000.0,477600.0,561.0,Other,9/28/2022
515,Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,Other,14200000.0,India,348000.0,5700.0,88.0,Other,9/14/2022
516,UFC - Ultimate Fighting Championship,UFC,Sports,14200000.0,United States,135800.0,3000.0,301.0,Other,9/21/2022
